"SucursalEntradaId","SucursalSalidaId","Nombre","CodigoBarra","Categoria","FechaCaducidad","Marca","Precio","Stock"
"SUC06","SUC07","Agua Pollo 1","1000000000","Bebidas","2026-12-04","Gallo","112.4","149"
"SUC01","SUC01","Leche Tío 2","1000000001","Lacteos","2026-04-17","Del Monte","8.85","60"
"SUC06","SUC06","Detergente Naturas 3","1000000002","Bebidas","2027-10-09","Ríos","131.05","50"
"SUC06","SUC06","Agua Pollo 4","1000000003","Bebidas","2027-02-03","Naturas","19.02","98"
"SUC05","SUC01","Pollo Naturas 5","1000000004","Panaderia","2026-07-03","Del Monte","47.51","170"
"SUC05","SUC05","Galletas Del 6","1000000005","Bebidas","2026-01-22","Pollo Rey","117.09","30"
"SUC07","SUC01","Cereal Ducal 7","1000000006","Limpieza","2027-03-12","Ducal","35.38","78"
"SUC06","SUC06","Tortillas Tío 8","1000000007","Panaderia","2026-09-24","Pollo Rey","28.69","107"
"SUC03","SUC03","Tortillas Gallo 9","1000000008","Panaderia","2026-11-11","Ríos","116.41","24"
"SUC02","SUC02","Res Ducal 10","1000000009","Limpieza","2027-02-07","Del Monte","132.07","90"
"SUC02","SUC02","Cereal Gallo 11","1000000010","Limpieza","2026-05-05","Pollo Rey","113.02","147"
"SUC03","SUC03","Cereal Del 12","1000000011","Limpieza","2027-04-05","Del Monte","76.56","22"
"SUC07","SUC06","Queso Ríos 13","1000000012","Carnes","2027-10-03","Naturas","60.33","129"
"SUC05","SUC06","Manzana Tío 14","1000000013","Carnes","2026-11-18","Ríos","43.69","174"
"SUC03","SUC05","Queso Naturas 15","1000000014","Lacteos","2027-09-25","Pollo Rey","78.61","37"
"SUC07","SUC07","Manzana Gallo 16","1000000015","Panaderia","2026-03-12","Ríos","28.42","145"
"SUC01","SUC01","Jabon Tío 17","1000000016","Lacteos","2027-05-08","Tío Pelón","39.93","155"
"SUC01","SUC05","Manzana Tío 18","1000000017","Frutas","2026-03-22","Naturas","142.29","52"
"SUC03","SUC03","Pan Naturas 19","1000000018","Bebidas","2026-12-10","Naturas","149.3","176"
"SUC03","SUC03","Detergente Naturas 20","1000000019","Lacteos","2026-04-03","Ducal","8.05","151"
"SUC02","SUC02","Leche Tío 21","1000000020","Carnes","2026-04-03","Tío Pelón","129.65","28"
"SUC05","SUC07","Jabon Pollo 22","1000000021","Panaderia","2026-12-19","Del Monte","73.54","131"
"SUC07","SUC07","Yogurt Tío 23","1000000022","Carnes","2027-06-14","Naturas","72.72","196"
"SUC01","SUC01","Tortillas Tío 24","1000000023","Lacteos","2027-12-11","Ríos","129.94","73"
"SUC02","SUC05","Queso Naturas 25","1000000024","Bebidas","2027-08-08","Ríos","138.87","123"
"SUC07","SUC07","Detergente Tío 26","1000000025","Lacteos","2026-02-25","Ríos","39.28","114"
"SUC04","SUC04","Manzana Naturas 27","1000000026","Lacteos","2026-07-01","Naturas","43.45","126"
"SUC03","SUC03","Pollo Ríos 28","1000000027","Panaderia","2027-03-07","Ducal","36.57","24"
"SUC05","SUC05","Leche Gallo 29","1000000028","Snacks","2026-01-19","Naturas","77.91","145"
"SUC02","SUC06","Yogurt Ríos 30","1000000029","Bebidas","2026-10-03","Gallo","129.96","113"
"SUC01","SUC01","Pan Pollo 31","1000000030","Panaderia","2026-10-03","Naturas","100.32","154"
"SUC05","SUC03","Jugo Gallo 32","1000000031","Carnes","2027-04-09","Naturas","23.98","175"
"SUC03","SUC03","Banano Ríos 33","1000000032","Lacteos","2026-08-20","Del Monte","149.43","28"
"SUC05","SUC03","Queso Ducal 34","1000000033","Lacteos","2026-06-10","Pollo Rey","68.54","149"
"SUC06","SUC07","Detergente Tío 35","1000000034","Carnes","2027-11-04","Pollo Rey","43.35","37"
"SUC06","SUC06","Agua Ducal 36","1000000035","Panaderia","2026-12-11","Pollo Rey","104.69","77"
"SUC05","SUC05","Banano Ríos 37","1000000036","Lacteos","2026-11-14","Ríos","45.12","10"
"SUC03","SUC03","Tortillas Ducal 38","1000000037","Bebidas","2027-09-23","Naturas","86.33","38"
"SUC01","SUC01","Pollo Pollo 39","1000000038","Panaderia","2026-06-19","Del Monte","26.47","42"
"SUC01","SUC02","Banano Ducal 40","1000000039","Bebidas","2026-11-04","Ducal","118.12","114"
"SUC05","SUC05","Banano Pollo 41","1000000040","Frutas","2026-03-14","Tío Pelón","31.01","95"
"SUC07","SUC07","Res Gallo 42","1000000041","Frutas","2026-05-06","Ríos","106.69","107"
"SUC07","SUC04","Jugo Pollo 43","1000000042","Frutas","2027-06-10","Ríos","120.33","68"
"SUC02","SUC03","Cereal Ducal 44","1000000043","Snacks","2026-05-12","Gallo","78.86","183"
