"SucursalID","Nombre","CodigoBarra","Categoria","FechaCaducidad","Marca","Precio","Stock","Estado"
"SUC01","Leche Entera Bio","9697354961","Lacteos","2026-03-13","Tío Pelón","72.38","115","Disponible"
"SUC01","Leche Descremada Mini","9963334018","Lacteos","2025-12-09","Unilever","108.37","16","Disponible"
"SUC01","Queso Fresco Mini","3585650756","Lacteos","2029-01-21","Tío Pelón","142.51","367","Agotado"
"SUC01","Yogurt Natural Extra","4733616459","Lacteos","2029-04-30","Pepsi","190.91","82","Disponible"
"SUC01","Crema Fresca Natural","1667779376","Lacteos","2025-12-27","Dos Pinos","239.52","173","Agotado"
"SUC01","Cafe Molido Bio","9776552803","Bebidas","2027-07-16","Dos Pinos","117.56","64","Disponible"
"SUC01","Cafe Instantaneo Plus","1298737106","Bebidas","2027-01-14","Dos Pinos","167.01","396","Disponible"
"SUC01","Jugo de Naranja Bio","6927597015","Bebidas","2027-06-18","Nestle","116.09","428","Disponible"
"SUC01","Agua Pura Clasico","3783290795","Bebidas","2028-05-29","Tío Pelón","154.24","88","Disponible"
"SUC01","Refresco Cola Light","7280359794","Bebidas","2029-01-01","Tío Pelón","71.14","474","Disponible"
"SUC01","Arroz Blanco Clasico","4332894265","Granos","2029-12-05","Coca-Cola","61.12","17","Agotado"
"SUC01","Frijoles Negros Natural","1284277889","Granos","2029-06-10","Coca-Cola","228.72","291","Disponible"
"SUC01","Lentejas Familiar","2970753705","Granos","2029-08-04","La Mejor","69.9","127","Disponible"
"SUC01","Maiz Amarillo Plus","7801222128","Granos","2028-04-09","Del Monte","93.69","71","Disponible"
"SUC01","Avena","4698408854","Granos","2029-11-09","Café Rey","42.45","82","Agotado"
"SUC01","Pollo Entero Plus","5567816720","Carnes","2028-05-19","Colgate","98.5","240","Disponible"
"SUC01","Carne Molida Bio","8047877267","Carnes","2026-04-20","Del Monte","32.33","223","Disponible"
"SUC01","Salchicha Natural","4272602734","Carnes","2028-12-02","Colgate","129.38","55","Disponible"
"SUC01","Atun en Aceite Light","4944899549","Conservas","2025-07-10","Dos Pinos","151.74","251","Disponible"
"SUC01","Sardinas Natural","2028439863","Conservas","2025-11-09","Dos Pinos","64.01","291","Agotado"
"SUC01","Tomate en Lata Bio","1540137296","Conservas","2028-06-30","Nestle","166.64","485","Disponible"
"SUC01","Aceite Vegetal Mini","6633778586","Aceites","2027-07-05","Del Monte","248.81","333","Agotado"
"SUC01","Aceite de Oliva Bio","2064746525","Aceites","2028-09-17","La Mejor","20.69","11","Disponible"
"SUC01","Mantequilla Plus","1945826486","Lacteos","2025-09-29","Unilever","22.39","324","Disponible"
"SUC01","Margarina","8987073217","Lacteos","2026-12-23","Café Rey","22.36","122","Agotado"
"SUC01","Shampoo Extra","3315992115","Higiene","2028-08-13","Kern's","182.22","452","Agotado"
"SUC01","Acondicionador Extra","8664882079","Higiene","2025-12-11","Dos Pinos","202.84","98","Agotado"
